%
%
% Run:      Table:GAUGE3            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000000      0.000000 
      0.10000       -0.0000     -0.000000      0.000000 
      0.15000       -0.0000     -0.000000      0.000000 
      0.20000        0.0000      0.000000      0.000000 
      0.25000       -0.0000     -0.000000      0.000000 
      0.30000        0.0000      0.000000      0.000000 
      0.35000       -0.0000     -0.000000      0.000000 
      0.40000        0.0000      0.000000      0.000000 
      0.45000       -0.0000      0.000000      0.000000 
      0.50000        0.0000     -0.000000      0.000000 
      0.55000        0.0000      0.000000      0.000000 
      0.60000        0.0000     -0.000000      0.000000 
      0.65000        0.0000      0.000000      0.000000 
      0.70000       -0.0000     -0.000000      0.000000 
      0.75000       -0.0000     -0.000000      0.000000 
      0.80000       -0.0000     -0.000000      0.000000 
      0.85000       -0.0000     -0.000000      0.000000 
      0.90000       -0.0000     -0.000000      0.000000 
      0.95000       -0.0000      0.000000      0.000000 
      1.00000       -0.0000      0.000000      0.000000 
      1.05000       -0.0000      0.000000      0.000000 
      1.10000        0.0000      0.000000      0.000000 
      1.15000        0.0000      0.000000      0.000000 
      1.20000        0.0000      0.000000      0.000000 
      1.25000        0.0000      0.000000      0.000000 
      1.30000        0.0000      0.000000      0.000000 
      1.35000        0.0000      0.000000      0.000000 
      1.40000        0.0000      0.000000      0.000000 
      1.45000        0.0000      0.000000      0.000000 
      1.50000        0.0000      0.000000      0.000000 
      1.55000        0.0000      0.000000      0.000000 
      1.60000        0.0000      0.000000      0.000000 
      1.65000        0.0000      0.000000      0.000000 
      1.70000        0.0000      0.000000      0.000000 
      1.75000        0.0000      0.000000      0.000000 
      1.80000        0.0000     -0.000000      0.000000 
      1.85000       -0.0000     -0.000000      0.000000 
      1.90000       -0.0000     -0.000000      0.000000 
      1.95000       -0.0000     -0.000000      0.000000 
      2.00000       -0.0000     -0.000000      0.000000 
      2.05000       -0.0000     -0.000000      0.000000 
      2.10000       -0.0000     -0.000000      0.000000 
      2.15000       -0.0000     -0.000000      0.000000 
      2.20000       -0.0000     -0.000000      0.000000 
      2.25000       -0.0000     -0.000000      0.000000 
      2.30000       -0.0000     -0.000000      0.000000 
      2.35000       -0.0000     -0.000000      0.000000 
      2.40000       -0.0000     -0.000000      0.000000 
      2.45000       -0.0000     -0.000000      0.000000 
      2.50000       -0.0000     -0.000000      0.000000 
      2.55000       -0.0000     -0.000000      0.000000 
      2.60000       -0.0000     -0.000000      0.000000 
      2.65000       -0.0000      0.000000      0.000000 
      2.70000        0.0000      0.000000      0.000000 
      2.75000        0.0000      0.000000      0.000000 
      2.80000        0.0000      0.000000      0.000000 
      2.85000        0.0000      0.000000      0.000000 
      2.90000        0.0000      0.000000      0.000000 
      2.95000        0.0000      0.000000      0.000000 
      3.00000        0.0000      0.000000      0.000000 
      3.05000        0.0000      0.000000      0.000000 
      3.10000        0.0000      0.000000      0.000000 
      3.15000        0.0000      0.000000      0.000000 
      3.20000        0.0000      0.000000      0.000000 
      3.25000        0.0000      0.000000      0.000000 
      3.30000        0.0000      0.000000      0.000000 
      3.35000        0.0000      0.000000      0.000000 
      3.40000        0.0000      0.000000      0.000000 
      3.45000        0.0000      0.000000      0.000000 
      3.50000       -0.0000     -0.000000      0.000000 
      3.55000       -0.0000     -0.000000      0.000000 
      3.60000       -0.0000     -0.000000      0.000000 
      3.65000       -0.0000     -0.000000      0.000000 
      3.70000       -0.0000     -0.000000      0.000000 
      3.75000       -0.0000     -0.000001      0.000000 
      3.80000       -0.0000     -0.000001      0.000000 
      3.85000       -0.0000     -0.000001      0.000000 
      3.90000       -0.0000     -0.000001      0.000000 
      3.95000       -0.0000     -0.000001      0.000000 
      4.00000       -0.0000     -0.000002      0.000000 
      4.05000       -0.0000     -0.000002      0.000000 
      4.10000       -0.0000     -0.000002      0.000000 
      4.15000       -0.0000     -0.000003      0.000000 
      4.20000       -0.0000     -0.000003      0.000000 
      4.25000       -0.0000     -0.000004      0.000000 
      4.30000       -0.0000     -0.000004      0.000000 
      4.35000       -0.0000     -0.000005      0.000000 
      4.40000       -0.0000     -0.000006      0.000000 
      4.45000       -0.0000     -0.000007      0.000000 
      4.50000       -0.0000     -0.000008      0.000000 
      4.55000       -0.0000     -0.000010      0.000000 
      4.60000       -0.0000     -0.000012      0.000000 
      4.65000       -0.0000     -0.000014      0.000000 
      4.70000       -0.0000     -0.000016      0.000000 
      4.75000       -0.0000     -0.000019      0.000000 
      4.80000       -0.0000     -0.000022      0.000000 
      4.85000       -0.0000     -0.000026      0.000000 
      4.90000       -0.0000     -0.000030      0.000000 
      4.95000       -0.0000     -0.000034      0.000000 
      5.00000       -0.0000     -0.000038      0.000000 
      5.05000       -0.0000     -0.000042      0.000000 
      5.10000       -0.0000     -0.000046      0.000000 
      5.15000       -0.0000     -0.000048      0.000000 
      5.20000       -0.0000     -0.000049      0.000000 
      5.25000       -0.0000     -0.000048      0.000000 
      5.30000       -0.0000     -0.000044      0.000000 
      5.35000       -0.0000     -0.000035      0.000000 
      5.40000       -0.0000     -0.000020      0.000000 
      5.45000       -0.0000      0.000003      0.000000 
      5.50000        0.0000      0.000037      0.000000 
      5.55000        0.0000      0.000084      0.000000 
      5.60000        0.0000      0.000148      0.000000 
      5.65000        0.0000      0.000233      0.000000 
      5.70000        0.0001      0.000345      0.000000 
      5.75000        0.0001      0.000490      0.000000 
      5.80000        0.0001      0.000676      0.000000 
      5.85000        0.0002      0.000911      0.000000 
      5.90000        0.0002      0.001205      0.000000 
      5.95000        0.0003      0.001572      0.000000 
      6.00000        0.0003      0.002025      0.000000 
      6.05000        0.0004      0.002581      0.000000 
      6.10000        0.0006      0.003258      0.000000 
      6.15000        0.0007      0.004078      0.000000 
      6.20000        0.0009      0.005065      0.000000 
      6.25000        0.0011      0.006246      0.000000 
      6.30000        0.0013      0.007652      0.000000 
      6.35000        0.0016      0.009316      0.000000 
      6.40000        0.0020      0.011275      0.000000 
      6.45000        0.0024      0.013569      0.000000 
      6.50000        0.0028      0.016240      0.000000 
      6.55000        0.0034      0.019330      0.000000 
      6.60000        0.0040      0.022885      0.000000 
      6.65000        0.0047      0.026949      0.000000 
      6.70000        0.0055      0.031561      0.000000 
      6.75000        0.0065      0.036757      0.000000 
      6.80000        0.0075      0.042564      0.000000 
      6.85000        0.0087      0.048997      0.000000 
      6.90000        0.0100      0.056052      0.000000 
      6.95000        0.0114      0.063703      0.000000 
      7.00000        0.0129      0.071899      0.000000 
      7.05000        0.0145      0.080556      0.000000 
      7.10000        0.0162      0.089552      0.000000 
      7.15000        0.0179      0.098728      0.000000 
      7.20000        0.0197      0.107883      0.000000 
      7.25000        0.0214      0.116781      0.000000 
      7.30000        0.0230      0.125154      0.000000 
      7.35000        0.0244      0.132716      0.000000 
      7.40000        0.0257      0.139177      0.000000 
      7.45000        0.0266      0.144259      0.000000 
      7.50000        0.0273      0.147713      0.000000 
      7.55000        0.0276      0.149331      0.000000 
      7.60000        0.0275      0.148991      0.000000 
      7.65000        0.0270      0.146635      0.000000 
      7.70000        0.0262      0.142276      0.000000 
      7.75000        0.0250      0.135997      0.000000 
      7.80000        0.0235      0.127950      0.000000 
      7.85000        0.0217      0.118339      0.000000 
      7.90000        0.0196      0.107391      0.000000 
      7.95000        0.0174      0.095354      0.000000 
      8.00000        0.0151      0.082474      0.000000 
      8.05000        0.0126      0.068982      0.000000 
      8.10000        0.0102      0.055091      0.000000 
      8.15000        0.0077      0.040985      0.000000 
      8.20000        0.0052      0.026821      0.000000 
      8.25000        0.0027      0.012731      0.000000 
      8.30000        0.0003     -0.001183      0.000000 
      8.35000       -0.0020     -0.014835      0.000000 
      8.40000       -0.0043     -0.028154      0.000000 
      8.45000       -0.0065     -0.041084      0.000000 
      8.50000       -0.0087     -0.053572      0.000000 
      8.55000       -0.0107     -0.065566      0.000000 
      8.60000       -0.0126     -0.077013      0.000000 
      8.65000       -0.0145     -0.087853      0.000000 
      8.70000       -0.0162     -0.098010      0.000000 
      8.75000       -0.0178     -0.107393      0.000000 
      8.80000       -0.0193     -0.115885      0.000000 
      8.85000       -0.0206     -0.123340      0.000000 
      8.90000       -0.0216     -0.129567      0.000000 
      8.95000       -0.0225     -0.134327      0.000000 
      9.00000       -0.0231     -0.137316      0.000000 
      9.05000       -0.0233     -0.138153      0.000000 
      9.10000       -0.0231     -0.136353      0.000000 
      9.15000       -0.0223     -0.131341      0.000000 
      9.20000       -0.0210     -0.122442      0.000000 
      9.25000       -0.0188     -0.108857      0.000000 
      9.30000       -0.0157     -0.089713      0.000000 
      9.35000       -0.0114     -0.064165      0.000000 
      9.40000       -0.0057     -0.031502      0.000000 
      9.45000        0.0016      0.008643      0.000000 
      9.50000        0.0106      0.056037      0.000000 
      9.55000        0.0212      0.109509      0.000000 
      9.60000        0.0331      0.166782      0.000000 
      9.65000        0.0455      0.223917      0.000000 
      9.70000        0.0570      0.275733      0.000000 
      9.75000        0.0657      0.315781      0.000000 
      9.80000        0.0699      0.337546      0.000000 
      9.85000        0.0688      0.338706      0.000000 
      9.90000        0.0629      0.319086      0.000000 
      9.95000        0.0535      0.282051      0.000000 
     10.00000        0.0422      0.232990      0.000000 
     10.05000        0.0304      0.177648      0.000000 
     10.10000        0.0193      0.120999      0.000000 
     10.15000        0.0094      0.066540      0.000000 
     10.20000        0.0008      0.016532      0.000000 
     10.25000       -0.0065     -0.027958      0.000000 
     10.30000       -0.0127     -0.066708      0.000000 
     10.35000       -0.0178     -0.100042      0.000000 
     10.40000       -0.0222     -0.128590      0.000000 
     10.45000       -0.0259     -0.153118      0.000000 
     10.50000       -0.0291     -0.174325      0.000000 
     10.55000       -0.0319     -0.192850      0.000000 
     10.60000       -0.0345     -0.209212      0.000000 
     10.65000       -0.0368     -0.223814      0.000000 
     10.70000       -0.0389     -0.236946      0.000000 
     10.75000       -0.0408     -0.248797      0.000000 
     10.80000       -0.0425     -0.259450      0.000000 
     10.85000       -0.0441     -0.268888      0.000000 
     10.90000       -0.0454     -0.276986      0.000000 
     10.95000       -0.0466     -0.283513      0.000000 
     11.00000       -0.0474     -0.288099      0.000000 
     11.05000       -0.0479     -0.290197      0.000000 
     11.10000       -0.0480     -0.289063      0.000000 
     11.15000       -0.0474     -0.283608      0.000000 
     11.20000       -0.0459     -0.272497      0.000000 
     11.25000       -0.0434     -0.253788      0.000000 
     11.30000       -0.0392     -0.225233      0.000000 
     11.35000       -0.0330     -0.183979      0.000000 
     11.40000       -0.0239     -0.127603      0.000000 
     11.45000       -0.0111     -0.053585      0.000000 
     11.50000        0.0063      0.038928      0.000000 
     11.55000        0.0295      0.148504      0.000000 
     11.60000        0.0583      0.269610      0.000000 
     11.65000        0.0878      0.388599      0.000000 
     11.70000        0.1085      0.478105      0.000000 
     11.75000        0.1126      0.510829      0.000000 
     11.80000        0.1006      0.483472      0.000000 
     11.85000        0.0781      0.409291      0.000000 
     11.90000        0.0526      0.309054      0.000000 
     11.95000        0.0294      0.203257      0.000000 
     12.00000        0.0105      0.103339      0.000000 
     12.05000       -0.0042      0.016120      0.000000 
     12.10000       -0.0153     -0.056192      0.000000 
     12.15000       -0.0236     -0.113866      0.000000 
     12.20000       -0.0297     -0.158564      0.000000 
     12.25000       -0.0342     -0.192581      0.000000 
     12.30000       -0.0376     -0.218213      0.000000 
     12.35000       -0.0402     -0.237645      0.000000 
     12.40000       -0.0421     -0.252419      0.000000 
     12.45000       -0.0437     -0.263717      0.000000 
     12.50000       -0.0450     -0.272512      0.000000 
     12.55000       -0.0460     -0.279311      0.000000 
     12.60000       -0.0469     -0.284706      0.000000 
     12.65000       -0.0476     -0.288925      0.000000 
     12.70000       -0.0482     -0.292089      0.000000 
     12.75000       -0.0486     -0.294278      0.000000 
     12.80000       -0.0488     -0.295414      0.000000 
     12.85000       -0.0489     -0.295380      0.000000 
     12.90000       -0.0487     -0.294024      0.000000 
     12.95000       -0.0484     -0.291119      0.000000 
     13.00000       -0.0478     -0.286376      0.000000 
     13.05000       -0.0468     -0.279469      0.000000 
     13.10000       -0.0455     -0.269970      0.000000 
     13.15000       -0.0436     -0.257298      0.000000 
     13.20000       -0.0411     -0.240862      0.000000 
     13.25000       -0.0379     -0.219894      0.000000 
     13.30000       -0.0337     -0.193717      0.000000 
     13.35000       -0.0285     -0.161540      0.000000 
     13.40000       -0.0220     -0.122844      0.000000 
     13.45000       -0.0140     -0.077443      0.000000 
     13.50000       -0.0046     -0.025689      0.000000 
     13.55000        0.0062      0.031286      0.000000 
     13.60000        0.0181      0.091114      0.000000 
     13.65000        0.0302      0.150390      0.000000 
     13.70000        0.0416      0.204370      0.000000 
     13.75000        0.0505      0.248058      0.000000 
     13.80000        0.0557      0.276223      0.000000 
     13.85000        0.0567      0.286901      0.000000 
     13.90000        0.0539      0.280374      0.000000 
     13.95000        0.0481      0.259521      0.000000 
     14.00000        0.0407      0.228565      0.000000 
     14.05000        0.0329      0.192057      0.000000 
     14.10000        0.0256      0.154192      0.000000 
     14.15000        0.0192      0.118041      0.000000 
     14.20000        0.0140      0.085736      0.000000 
     14.25000        0.0100      0.058154      0.000000 
     14.30000        0.0071      0.035646      0.000000 
     14.35000        0.0052      0.017798      0.000000 
     14.40000        0.0040      0.003985      0.000000 
     14.45000        0.0033     -0.006543      0.000000 
     14.50000        0.0030     -0.014565      0.000000 
     14.55000        0.0028     -0.020885      0.000000 
     14.60000        0.0025     -0.026199      0.000000 
     14.65000        0.0020     -0.031036      0.000000 
     14.70000        0.0011     -0.035859      0.000000 
     14.75000       -0.0003     -0.040962      0.000000 
     14.80000       -0.0021     -0.046505      0.000000 
     14.85000       -0.0045     -0.052552      0.000000 
     14.90000       -0.0073     -0.059077      0.000000 
     14.95000       -0.0106     -0.065976      0.000000 
     15.00000       -0.0142     -0.073123      0.000000 
     15.05000       -0.0179     -0.080367      0.000000 
     15.10000       -0.0217     -0.087564      0.000000 
     15.15000       -0.0253     -0.094587      0.000000 
     15.20000       -0.0285     -0.101309      0.000000 
     15.25000       -0.0313     -0.107593      0.000000 
     15.30000       -0.0335     -0.113263      0.000000 
     15.35000       -0.0349     -0.118090      0.000000 
     15.40000       -0.0353     -0.121706      0.000000 
     15.45000       -0.0348     -0.123577      0.000000 
     15.50000       -0.0331     -0.122944      0.000000 
     15.55000       -0.0302     -0.118934      0.000000 
     15.60000       -0.0260     -0.110525      0.000000 
     15.65000       -0.0206     -0.096540      0.000000 
     15.70000       -0.0140     -0.076012      0.000000 
     15.75000       -0.0063     -0.048209      0.000000 
     15.80000        0.0023     -0.013673      0.000000 
     15.85000        0.0113      0.026450      0.000000 
     15.90000        0.0201      0.069352      0.000000 
     15.95000        0.0281      0.111320      0.000000 
     16.00000        0.0340      0.148128      0.000000 
     16.05000        0.0372      0.175108      0.000000 
     16.10000        0.0370      0.189226      0.000000 
     16.15000        0.0336      0.189690      0.000000 
     16.20000        0.0277      0.177184      0.000000 
     16.25000        0.0203      0.154600      0.000000 
     16.30000        0.0126      0.125695      0.000000 
     16.35000        0.0055      0.094342      0.000000 
     16.40000       -0.0002      0.063788      0.000000 
     16.45000       -0.0041      0.036681      0.000000 
     16.50000       -0.0062      0.015238      0.000000 
     16.55000       -0.0064      0.000839      0.000000 
     16.60000       -0.0050     -0.005215      0.000000 
     16.65000       -0.0020     -0.002192      0.000000 
     16.70000        0.0020      0.009609      0.000000 
     16.75000        0.0069      0.029171      0.000000 
     16.80000        0.0123      0.054422      0.000000 
     16.85000        0.0176      0.082522      0.000000 
     16.90000        0.0223      0.110113      0.000000 
     16.95000        0.0258      0.133739      0.000000 
     17.00000        0.0276      0.150322      0.000000 
     17.05000        0.0274      0.157627      0.000000 
     17.10000        0.0253      0.155119      0.000000 
     17.15000        0.0216      0.143192      0.000000 
     17.20000        0.0168      0.123350      0.000000 
     17.25000        0.0116      0.097765      0.000000 
     17.30000        0.0066      0.068971      0.000000 
     17.35000        0.0020      0.039410      0.000000 
     17.40000       -0.0019      0.011217      0.000000 
     17.45000       -0.0049     -0.013830      0.000000 
     17.50000       -0.0073     -0.034465      0.000000 
     17.55000       -0.0091     -0.050069      0.000000 
     17.60000       -0.0103     -0.060559      0.000000 
     17.65000       -0.0111     -0.066466      0.000000 
     17.70000       -0.0114     -0.068686      0.000000 
     17.75000       -0.0114     -0.068325      0.000000 
     17.80000       -0.0111     -0.066465      0.000000 
     17.85000       -0.0105     -0.064049      0.000000 
     17.90000       -0.0098     -0.061750      0.000000 
     17.95000       -0.0090     -0.059945      0.000000 
     18.00000       -0.0082     -0.058720      0.000000 
     18.05000       -0.0075     -0.057934      0.000000 
     18.10000       -0.0071     -0.057301      0.000000 
     18.15000       -0.0069     -0.056452      0.000000 
     18.20000       -0.0070     -0.055053      0.000000 
     18.25000       -0.0073     -0.052848      0.000000 
     18.30000       -0.0077     -0.049669      0.000000 
     18.35000       -0.0083     -0.045468      0.000000 
     18.40000       -0.0087     -0.040291      0.000000 
     18.45000       -0.0091     -0.034253      0.000000 
     18.50000       -0.0094     -0.027487      0.000000 
     18.55000       -0.0095     -0.020175      0.000000 
     18.60000       -0.0094     -0.012456      0.000000 
     18.65000       -0.0092     -0.004465      0.000000 
     18.70000       -0.0088      0.003698      0.000000 
     18.75000       -0.0082      0.012128      0.000000 
     18.80000       -0.0074      0.020996      0.000000 
     18.85000       -0.0061      0.030738      0.000000 
     18.90000       -0.0043      0.042032      0.000000 
     18.95000       -0.0016      0.055785      0.000000 
     19.00000        0.0021      0.073078      0.000000 
     19.05000        0.0072      0.094956      0.000000 
     19.10000        0.0138      0.122245      0.000000 
     19.15000        0.0222      0.155109      0.000000 
     19.20000        0.0321      0.192671      0.000000 
     19.25000        0.0431      0.232565      0.000000 
     19.30000        0.0541      0.270848      0.000000 
