%
%
% Run:      Table:GAUGE2            SWASH version:11.01AB
%
%       Tsec          Watlev      X-vel         Y-vel      
%       [s]           [m]           [m/s]         [m/s]    
%
      0.00000        0.0000      0.000000      0.000000 
      0.05000       -0.0000     -0.000000      0.000000 
      0.10000        0.0000     -0.000000      0.000000 
      0.15000       -0.0000     -0.000000      0.000000 
      0.20000       -0.0000     -0.000000      0.000000 
      0.25000       -0.0000     -0.000000      0.000000 
      0.30000       -0.0000     -0.000000      0.000000 
      0.35000       -0.0000     -0.000000      0.000000 
      0.40000       -0.0000     -0.000000      0.000000 
      0.45000       -0.0000      0.000000      0.000000 
      0.50000       -0.0000      0.000000      0.000000 
      0.55000       -0.0000     -0.000002      0.000000 
      0.60000       -0.0000     -0.000001      0.000000 
      0.65000        0.0000      0.000003      0.000000 
      0.70000        0.0000     -0.000000      0.000000 
      0.75000       -0.0000      0.000019      0.000000 
      0.80000       -0.0000      0.000013      0.000000 
      0.85000       -0.0000      0.000008      0.000000 
      0.90000       -0.0000      0.000038      0.000000 
      0.95000       -0.0000     -0.000012      0.000000 
      1.00000       -0.0000      0.000014      0.000000 
      1.05000       -0.0000     -0.000005      0.000000 
      1.10000       -0.0000     -0.000008      0.000000 
      1.15000       -0.0000      0.000021      0.000000 
      1.20000        0.0000     -0.000014      0.000000 
      1.25000        0.0000     -0.000033      0.000000 
      1.30000        0.0000     -0.000023      0.000000 
      1.35000        0.0000     -0.000017      0.000000 
      1.40000        0.0000     -0.000007      0.000000 
      1.45000        0.0000     -0.000005      0.000000 
      1.50000        0.0000     -0.000005      0.000000 
      1.55000        0.0000     -0.000002      0.000000 
      1.60000       -0.0000     -0.000012      0.000000 
      1.65000       -0.0000     -0.000003      0.000000 
      1.70000       -0.0000     -0.000014      0.000000 
      1.75000       -0.0000     -0.000010      0.000000 
      1.80000       -0.0000     -0.000023      0.000000 
      1.85000       -0.0000     -0.000026      0.000000 
      1.90000       -0.0000     -0.000041      0.000000 
      1.95000       -0.0000     -0.000053      0.000000 
      2.00000       -0.0000     -0.000071      0.000000 
      2.05000       -0.0000     -0.000093      0.000000 
      2.10000       -0.0000     -0.000120      0.000000 
      2.15000       -0.0000     -0.000152      0.000000 
      2.20000       -0.0000     -0.000189      0.000000 
      2.25000       -0.0000     -0.000233      0.000000 
      2.30000       -0.0001     -0.000284      0.000000 
      2.35000       -0.0001     -0.000342      0.000000 
      2.40000       -0.0001     -0.000407      0.000000 
      2.45000       -0.0001     -0.000480      0.000000 
      2.50000       -0.0001     -0.000559      0.000000 
      2.55000       -0.0001     -0.000643      0.000000 
      2.60000       -0.0002     -0.000730      0.000000 
      2.65000       -0.0002     -0.000816      0.000000 
      2.70000       -0.0002     -0.000898      0.000000 
      2.75000       -0.0002     -0.000969      0.000000 
      2.80000       -0.0002     -0.001019      0.000000 
      2.85000       -0.0002     -0.001037      0.000000 
      2.90000       -0.0002     -0.001008      0.000000 
      2.95000       -0.0002     -0.000914      0.000000 
      3.00000       -0.0002     -0.000730      0.000000 
      3.05000       -0.0002     -0.000429      0.000000 
      3.10000       -0.0001      0.000024      0.000000 
      3.15000        0.0000      0.000671      0.000000 
      3.20000        0.0002      0.001560      0.000000 
      3.25000        0.0004      0.002748      0.000000 
      3.30000        0.0008      0.004300      0.000000 
      3.35000        0.0012      0.006291      0.000000 
      3.40000        0.0017      0.008801      0.000000 
      3.45000        0.0023      0.011925      0.000000 
      3.50000        0.0031      0.015757      0.000000 
      3.55000        0.0041      0.020398      0.000000 
      3.60000        0.0053      0.025954      0.000000 
      3.65000        0.0067      0.032525      0.000000 
      3.70000        0.0084      0.040201      0.000000 
      3.75000        0.0103      0.049066      0.000000 
      3.80000        0.0126      0.059169      0.000000 
      3.85000        0.0151      0.070526      0.000000 
      3.90000        0.0180      0.083100      0.000000 
      3.95000        0.0212      0.096802      0.000000 
      4.00000        0.0247      0.111461      0.000000 
      4.05000        0.0284      0.126823      0.000000 
      4.10000        0.0322      0.142544      0.000000 
      4.15000        0.0361      0.158169      0.000000 
      4.20000        0.0398      0.173179      0.000000 
      4.25000        0.0433      0.186964      0.000000 
      4.30000        0.0464      0.198873      0.000000 
      4.35000        0.0489      0.208247      0.000000 
      4.40000        0.0505      0.214462      0.000000 
      4.45000        0.0512      0.216972      0.000000 
      4.50000        0.0509      0.215379      0.000000 
      4.55000        0.0494      0.209490      0.000000 
      4.60000        0.0468      0.199255      0.000000 
      4.65000        0.0431      0.184834      0.000000 
      4.70000        0.0386      0.166611      0.000000 
      4.75000        0.0333      0.145064      0.000000 
      4.80000        0.0274      0.120817      0.000000 
      4.85000        0.0211      0.094498      0.000000 
      4.90000        0.0147      0.066791      0.000000 
      4.95000        0.0082      0.038306      0.000000 
      5.00000        0.0018      0.009612      0.000000 
      5.05000       -0.0045     -0.018822      0.000000 
      5.10000       -0.0105     -0.046544      0.000000 
      5.15000       -0.0163     -0.073276      0.000000 
      5.20000       -0.0217     -0.098734      0.000000 
      5.25000       -0.0267     -0.122705      0.000000 
      5.30000       -0.0313     -0.145059      0.000000 
      5.35000       -0.0356     -0.165574      0.000000 
      5.40000       -0.0394     -0.184153      0.000000 
      5.45000       -0.0429     -0.200638      0.000000 
      5.50000       -0.0458     -0.214838      0.000000 
      5.55000       -0.0483     -0.226502      0.000000 
      5.60000       -0.0503     -0.235485      0.000000 
      5.65000       -0.0516     -0.241175      0.000000 
      5.70000       -0.0522     -0.243239      0.000000 
      5.75000       -0.0521     -0.241229      0.000000 
      5.80000       -0.0510     -0.234287      0.000000 
      5.85000       -0.0488     -0.221753      0.000000 
      5.90000       -0.0453     -0.202739      0.000000 
      5.95000       -0.0402     -0.176501      0.000000 
      6.00000       -0.0333     -0.142140      0.000000 
      6.05000       -0.0242     -0.099064      0.000000 
      6.10000       -0.0128     -0.047064      0.000000 
      6.15000        0.0013      0.013510      0.000000 
      6.20000        0.0182      0.081494      0.000000 
      6.25000        0.0375      0.154643      0.000000 
      6.30000        0.0586      0.229443      0.000000 
      6.35000        0.0799      0.300816      0.000000 
      6.40000        0.0989      0.362166      0.000000 
      6.45000        0.1118      0.405457      0.000000 
      6.50000        0.1155      0.423173      0.000000 
      6.55000        0.1097      0.412315      0.000000 
      6.60000        0.0955      0.375033      0.000000 
      6.65000        0.0758      0.316015      0.000000 
      6.70000        0.0538      0.243281      0.000000 
      6.75000        0.0322      0.164116      0.000000 
      6.80000        0.0122      0.084090      0.000000 
      6.85000       -0.0054      0.007487      0.000000 
      6.90000       -0.0205     -0.063182      0.000000 
      6.95000       -0.0332     -0.126477      0.000000 
      7.00000       -0.0438     -0.181776      0.000000 
      7.05000       -0.0525     -0.229161      0.000000 
      7.10000       -0.0597     -0.269160      0.000000 
      7.15000       -0.0655     -0.302489      0.000000 
      7.20000       -0.0703     -0.329962      0.000000 
      7.25000       -0.0742     -0.352315      0.000000 
      7.30000       -0.0774     -0.370156      0.000000 
      7.35000       -0.0798     -0.384202      0.000000 
      7.40000       -0.0817     -0.394583      0.000000 
      7.45000       -0.0830     -0.401654      0.000000 
      7.50000       -0.0838     -0.405541      0.000000 
      7.55000       -0.0840     -0.406061      0.000000 
      7.60000       -0.0836     -0.402926      0.000000 
      7.65000       -0.0825     -0.395797      0.000000 
      7.70000       -0.0805     -0.384152      0.000000 
      7.75000       -0.0776     -0.367097      0.000000 
      7.80000       -0.0735     -0.343766      0.000000 
      7.85000       -0.0679     -0.313114      0.000000 
      7.90000       -0.0605     -0.274091      0.000000 
      7.95000       -0.0510     -0.225660      0.000000 
      8.00000       -0.0390     -0.166995      0.000000 
      8.05000       -0.0240     -0.097731      0.000000 
      8.10000       -0.0058     -0.018350      0.000000 
      8.15000        0.0159      0.069557      0.000000 
      8.20000        0.0408      0.163029      0.000000 
      8.25000        0.0676      0.257114      0.000000 
      8.30000        0.0940      0.344780      0.000000 
      8.35000        0.1161      0.417040      0.000000 
      8.40000        0.1290      0.463433      0.000000 
      8.45000        0.1300      0.476368      0.000000 
      8.50000        0.1197      0.455862      0.000000 
      8.55000        0.1006      0.405553      0.000000 
      8.60000        0.0769      0.334078      0.000000 
      8.65000        0.0522      0.250659      0.000000 
      8.70000        0.0289      0.163039      0.000000 
      8.75000        0.0080      0.077033      0.000000 
      8.80000       -0.0099     -0.003315      0.000000 
      8.85000       -0.0250     -0.075493      0.000000 
      8.90000       -0.0373     -0.138188      0.000000 
      8.95000       -0.0472     -0.191013      0.000000 
      9.00000       -0.0550     -0.234099      0.000000 
      9.05000       -0.0610     -0.268146      0.000000 
      9.10000       -0.0654     -0.293847      0.000000 
      9.15000       -0.0685     -0.312033      0.000000 
      9.20000       -0.0703     -0.323405      0.000000 
      9.25000       -0.0709     -0.328459      0.000000 
      9.30000       -0.0705     -0.327894      0.000000 
      9.35000       -0.0691     -0.321914      0.000000 
      9.40000       -0.0667     -0.311127      0.000000 
      9.45000       -0.0633     -0.295713      0.000000 
      9.50000       -0.0590     -0.276185      0.000000 
      9.55000       -0.0537     -0.252959      0.000000 
      9.60000       -0.0477     -0.226643      0.000000 
      9.65000       -0.0411     -0.198005      0.000000 
      9.70000       -0.0340     -0.167910      0.000000 
      9.75000       -0.0268     -0.137472      0.000000 
      9.80000       -0.0198     -0.107963      0.000000 
      9.85000       -0.0133     -0.080323      0.000000 
      9.90000       -0.0077     -0.055847      0.000000 
      9.95000       -0.0034     -0.035261      0.000000 
     10.00000       -0.0005     -0.019028      0.000000 
     10.05000        0.0011     -0.006992      0.000000 
     10.10000        0.0016      0.001672      0.000000 
     10.15000        0.0014      0.008366      0.000000 
     10.20000        0.0011      0.014773      0.000000 
     10.25000        0.0014      0.023155      0.000000 
     10.30000        0.0028      0.035312      0.000000 
     10.35000        0.0058      0.052544      0.000000 
     10.40000        0.0109      0.076087      0.000000 
     10.45000        0.0184      0.106260      0.000000 
     10.50000        0.0283      0.141603      0.000000 
     10.55000        0.0405      0.181984      0.000000 
     10.60000        0.0538      0.224152      0.000000 
     10.65000        0.0667      0.263846      0.000000 
     10.70000        0.0772      0.295977      0.000000 
     10.75000        0.0828      0.314775      0.000000 
     10.80000        0.0824      0.316443      0.000000 
     10.85000        0.0762      0.300944      0.000000 
     10.90000        0.0653      0.269685      0.000000 
     10.95000        0.0516      0.226987      0.000000 
     11.00000        0.0371      0.177976      0.000000 
     11.05000        0.0231      0.126730      0.000000 
     11.10000        0.0105      0.076927      0.000000 
     11.15000       -0.0004      0.030692      0.000000 
     11.20000       -0.0095     -0.010578      0.000000 
     11.25000       -0.0169     -0.046388      0.000000 
     11.30000       -0.0228     -0.076573      0.000000 
     11.35000       -0.0273     -0.101494      0.000000 
     11.40000       -0.0307     -0.121555      0.000000 
     11.45000       -0.0331     -0.137248      0.000000 
     11.50000       -0.0349     -0.148943      0.000000 
     11.55000       -0.0359     -0.157028      0.000000 
     11.60000       -0.0364     -0.161917      0.000000 
     11.65000       -0.0363     -0.163284      0.000000 
     11.70000       -0.0356     -0.161208      0.000000 
     11.75000       -0.0342     -0.155699      0.000000 
     11.80000       -0.0321     -0.146369      0.000000 
     11.85000       -0.0291     -0.133072      0.000000 
     11.90000       -0.0252     -0.116434      0.000000 
     11.95000       -0.0202     -0.096017      0.000000 
     12.00000       -0.0141     -0.072330      0.000000 
     12.05000       -0.0070     -0.046225      0.000000 
     12.10000        0.0009     -0.018654      0.000000 
     12.15000        0.0092      0.008942      0.000000 
     12.20000        0.0175      0.034976      0.000000 
     12.25000        0.0250      0.057486      0.000000 
     12.30000        0.0308      0.074283      0.000000 
     12.35000        0.0343      0.083717      0.000000 
     12.40000        0.0349      0.084719      0.000000 
     12.45000        0.0328      0.077317      0.000000 
     12.50000        0.0281      0.062675      0.000000 
     12.55000        0.0218      0.043094      0.000000 
     12.60000        0.0146      0.021335      0.000000 
     12.65000        0.0075      0.000252      0.000000 
     12.70000        0.0012     -0.017384      0.000000 
     12.75000       -0.0037     -0.029190      0.000000 
     12.80000       -0.0068     -0.033427      0.000000 
     12.85000       -0.0078     -0.028785      0.000000 
     12.90000       -0.0066     -0.014760      0.000000 
     12.95000       -0.0032      0.008244      0.000000 
     13.00000        0.0023      0.039564      0.000000 
     13.05000        0.0096      0.077336      0.000000 
     13.10000        0.0181      0.119198      0.000000 
     13.15000        0.0268      0.161482      0.000000 
     13.20000        0.0345      0.200361      0.000000 
     13.25000        0.0400      0.231444      0.000000 
     13.30000        0.0421      0.251105      0.000000 
     13.35000        0.0408      0.257541      0.000000 
     13.40000        0.0366      0.251403      0.000000 
     13.45000        0.0305      0.234968      0.000000 
     13.50000        0.0237      0.211001      0.000000 
     13.55000        0.0172      0.183145      0.000000 
     13.60000        0.0116      0.154004      0.000000 
     13.65000        0.0074      0.125526      0.000000 
     13.70000        0.0045      0.099056      0.000000 
     13.75000        0.0030      0.075372      0.000000 
     13.80000        0.0028      0.054776      0.000000 
     13.85000        0.0036      0.037613      0.000000 
     13.90000        0.0052      0.024391      0.000000 
     13.95000        0.0073      0.015140      0.000000 
     14.00000        0.0098      0.010124      0.000000 
     14.05000        0.0125      0.009515      0.000000 
     14.10000        0.0150      0.012925      0.000000 
     14.15000        0.0173      0.020384      0.000000 
     14.20000        0.0193      0.030396      0.000000 
     14.25000        0.0207      0.042484      0.000000 
     14.30000        0.0216      0.055266      0.000000 
     14.35000        0.0216      0.067335      0.000000 
     14.40000        0.0208      0.077578      0.000000 
     14.45000        0.0189      0.084207      0.000000 
     14.50000        0.0158      0.085943      0.000000 
     14.55000        0.0115      0.081623      0.000000 
     14.60000        0.0060      0.070676      0.000000 
     14.65000       -0.0003      0.052971      0.000000 
     14.70000       -0.0073      0.028514      0.000000 
     14.75000       -0.0144     -0.001092      0.000000 
     14.80000       -0.0213     -0.034866      0.000000 
     14.85000       -0.0276     -0.071040      0.000000 
     14.90000       -0.0331     -0.108246      0.000000 
     14.95000       -0.0377     -0.144222      0.000000 
     15.00000       -0.0413     -0.177516      0.000000 
     15.05000       -0.0441     -0.206457      0.000000 
     15.10000       -0.0462     -0.229362      0.000000 
     15.15000       -0.0476     -0.244867      0.000000 
     15.20000       -0.0484     -0.251705      0.000000 
     15.25000       -0.0485     -0.249147      0.000000 
     15.30000       -0.0479     -0.236873      0.000000 
     15.35000       -0.0462     -0.214984      0.000000 
     15.40000       -0.0432     -0.184098      0.000000 
     15.45000       -0.0385     -0.145009      0.000000 
     15.50000       -0.0317     -0.098690      0.000000 
     15.55000       -0.0227     -0.046691      0.000000 
     15.60000       -0.0113      0.009951      0.000000 
     15.65000        0.0023      0.069366      0.000000 
     15.70000        0.0177      0.129566      0.000000 
     15.75000        0.0340      0.188270      0.000000 
     15.80000        0.0502      0.242267      0.000000 
     15.85000        0.0649      0.288354      0.000000 
     15.90000        0.0766      0.323351      0.000000 
     15.95000        0.0843      0.344833      0.000000 
     16.00000        0.0875      0.351572      0.000000 
     16.05000        0.0864      0.343689      0.000000 
     16.10000        0.0813      0.322169      0.000000 
     16.15000        0.0731      0.289198      0.000000 
     16.20000        0.0628      0.247852      0.000000 
     16.25000        0.0512      0.201277      0.000000 
     16.30000        0.0391      0.152561      0.000000 
     16.35000        0.0268      0.104477      0.000000 
     16.40000        0.0150      0.059080      0.000000 
     16.45000        0.0038      0.017563      0.000000 
     16.50000       -0.0065     -0.019698      0.000000 
     16.55000       -0.0157     -0.052529      0.000000 
     16.60000       -0.0237     -0.081729      0.000000 
     16.65000       -0.0305     -0.107915      0.000000 
     16.70000       -0.0361     -0.131939      0.000000 
     16.75000       -0.0404     -0.154297      0.000000 
     16.80000       -0.0437     -0.175907      0.000000 
     16.85000       -0.0460     -0.196564      0.000000 
     16.90000       -0.0477     -0.216294      0.000000 
     16.95000       -0.0489     -0.234612      0.000000 
     17.00000       -0.0500     -0.251079      0.000000 
     17.05000       -0.0510     -0.264974      0.000000 
     17.10000       -0.0522     -0.275931      0.000000 
     17.15000       -0.0535     -0.283559      0.000000 
     17.20000       -0.0548     -0.287842      0.000000 
     17.25000       -0.0561     -0.289041      0.000000 
     17.30000       -0.0571     -0.287579      0.000000 
     17.35000       -0.0575     -0.283743      0.000000 
     17.40000       -0.0573     -0.277923      0.000000 
     17.45000       -0.0561     -0.269990      0.000000 
     17.50000       -0.0539     -0.259696      0.000000 
     17.55000       -0.0506     -0.246336      0.000000 
     17.60000       -0.0464     -0.229110      0.000000 
     17.65000       -0.0410     -0.206847      0.000000 
     17.70000       -0.0346     -0.178933      0.000000 
     17.75000       -0.0271     -0.144143      0.000000 
     17.80000       -0.0183     -0.102523      0.000000 
     17.85000       -0.0082     -0.053886      0.000000 
     17.90000        0.0033      0.001180      0.000000 
     17.95000        0.0162      0.061522      0.000000 
     18.00000        0.0302      0.125255      0.000000 
     18.05000        0.0450      0.189851      0.000000 
     18.10000        0.0597      0.252124      0.000000 
     18.15000        0.0736      0.308715      0.000000 
     18.20000        0.0852      0.356058      0.000000 
     18.25000        0.0927      0.389869      0.000000 
     18.30000        0.0944      0.405699      0.000000 
     18.35000        0.0893      0.400910      0.000000 
     18.40000        0.0779      0.375332      0.000000 
     18.45000        0.0616      0.330840      0.000000 
     18.50000        0.0427      0.272715      0.000000 
     18.55000        0.0236      0.207171      0.000000 
     18.60000        0.0058      0.140017      0.000000 
     18.65000       -0.0097      0.075541      0.000000 
     18.70000       -0.0227      0.016801      0.000000 
     18.75000       -0.0331     -0.034747      0.000000 
     18.80000       -0.0412     -0.078463      0.000000 
     18.85000       -0.0472     -0.114496      0.000000 
     18.90000       -0.0514     -0.143382      0.000000 
     18.95000       -0.0542     -0.166529      0.000000 
     19.00000       -0.0559     -0.184628      0.000000 
     19.05000       -0.0566     -0.198698      0.000000 
     19.10000       -0.0567     -0.210059      0.000000 
     19.15000       -0.0563     -0.219178      0.000000 
     19.20000       -0.0555     -0.226500      0.000000 
     19.25000       -0.0545     -0.232649      0.000000 
     19.30000       -0.0533     -0.237705      0.000000 
